NAMELSAD,STUSPS,category_x,event_index,category_y
Wahkiakum County,WA,MODERATE,3.0,MODERATE
Minnehaha County,SD,MINOR,2.0,MINOR
Sierra County,CA,MINOR,2.0,MINOR
Sauk County,WI,LIMITED,1.0,LIMITED
Wallowa County,OR,MINOR,2.0,MINOR
Saguache County,CO,MODERATE,3.0,MODERATE
Rich County,UT,MODERATE,3.0,MODERATE
Lincoln County,WY,MODERATE,3.0,MODERATE
Keith County,NE,MINOR,2.0,MINOR
Jefferson County,ID,MODERATE,3.0,MODERATE
Churchill County,NV,MODERATE,3.0,MODERATE
Hutchinson County,SD,MODERATE,3.0,MODERATE
Crook County,OR,MINOR,2.0,MINOR
Franklin County,VT,LIMITED,1.0,LIMITED
Marquette County,MI,LIMITED,1.0,LIMITED
Dakota County,NE,LIMITED,1.0,LIMITED
Fremont County,WY,MINOR,2.0,MINOR
Sedgwick County,CO,LIMITED,1.0,LIMITED
Musselshell County,MT,MINOR,2.0,MINOR
Moody County,SD,MINOR,2.0,MINOR
Sussex County,NJ,LIMITED,1.0,LIMITED
Boyd County,NE,MODERATE,3.0,MODERATE
Mille Lacs County,MN,LIMITED,1.0,LIMITED
Walsh County,ND,MODERATE,3.0,MODERATE
Uinta County,WY,MINOR,2.0,MINOR
Humboldt County,NV,MODERATE,3.0,MODERATE
Clackamas County,OR,EXTREME,5.0,EXTREME
Douglas County,SD,MODERATE,3.0,MODERATE
Thomas County,NE,MINOR,2.0,MINOR
Sioux County,ND,MODERATE,3.0,MODERATE
Lac qui Parle County,MN,MINOR,2.0,MINOR
Cache County,UT,MODERATE,3.0,MODERATE
Androscoggin County,ME,LIMITED,1.0,LIMITED
Kootenai County,ID,MINOR,2.0,MINOR
Holt County,NE,MINOR,2.0,MINOR
McLeod County,MN,MINOR,2.0,MINOR
Custer County,CO,MINOR,2.0,MINOR
Wayne County,PA,LIMITED,1.0,LIMITED
